Plane	Strip	Shift	Resolution
5	15	275.672	0.18276
5	16	275.845	0.197798
5	17	275.784	0.203088
5	18	275.852	0.196196
5	19	275.772	0.190311
5	20	275.849	0.194686
5	21	275.824	0.194114
5	22	275.911	0.188762
5	23	275.939	0.179844
5	24	275.96	0.202214
5	25	275.932	0.187131
5	26	275.925	0.202781
5	27	275.794	0.198464
5	28	275.779	0.170081
5	29	275.865	0.18625
5	30	276.001	0.18459
5	31	275.857	0.178546
5	32	276.026	0.171668
5	33	275.725	0.179317
5	34	275.725	0.193325
5	35	275.74	0.18485
5	36	275.786	0.183727
5	37	275.534	0.17888
5	38	275.675	0.176878
5	39	275.88	0.18953
5	40	275.86	0.185404
5	41	275.802	0.164326
5	42	275.894	0.175432
5	43	275.832	0.180835
5	44	275.953	0.175209
5	45	276.813	0.0405415
5	46	275.843	0.191623
5	47	275.905	0.163346
6	0	275.852	0.176571
6	1	275.704	0.173319
6	2	275.632	0.173883
6	3	275.548	0.187918
6	4	275.619	0.193063
6	5	275.598	0.184791
6	6	275.699	0.173984
6	7	275.574	0.175143
6	8	275.58	0.17149
6	9	275.458	0.18533
6	10	275.413	0.191519
6	11	275.396	0.17387
6	12	275.517	0.185622
6	13	275.361	0.181389
6	14	275.606	0.179437
6	15	275.469	0.173951
6	16	275.57	0.19011
6	17	275.523	0.198517
6	18	275.497	0.189637
6	19	275.502	0.187673
6	20	275.625	0.182302
6	21	275.501	0.187462
6	22	275.616	0.197921
6	23	275.707	0.180485
6	24	276.033	0.183742
6	25	276.029	0.183326
6	26	275.719	0.182324
6	27	275.806	0.171023
6	28	278.683	0.0317162
6	29	275.662	0.172813
6	30	276.027	0.176628
6	31	275.939	0.187113
6	32	275.814	0.187459
6	33	275.745	0.169528
6	34	275.727	0.171448
6	35	275.621	0.179515
6	36	275.67	0.181336
6	37	275.599	0.18383
6	38	275.872	0.164998
6	39	275.783	0.183618
6	40	275.982	0.177676
6	41	276.021	0.175951
6	42	275.8	0.182529
6	43	275.918	0.174083
6	44	276.104	0.180194
6	45	275.793	0.174759
6	46	275.936	0.175698
6	47	276.139	0.194684
7	0	271.203	0.190977
7	1	271.163	0.185149
7	2	270.807	0.187751
7	3	270.885	0.187474
7	4	270.979	0.182423
7	5	270.734	0.185822
7	6	271.163	0.189333
7	7	270.936	0.180763
7	8	270.838	0.177185
7	9	270.886	0.192952
7	10	270.868	0.18772
7	11	270.546	0.17859
7	12	270.521	0.163313
7	13	270.737	0.170563
7	14	270.803	0.18726
7	15	270.668	0.173296
7	16	271.036	0.168503
7	17	270.895	0.187071
7	18	270.904	0.180914
7	19	270.917	0.189719
7	20	271.086	0.181629
7	21	270.748	0.178372
7	22	271.074	0.202009
7	23	271.083	0.188451
7	24	271.137	0.168663
7	25	271.134	0.182928
7	26	271.002	0.186141
7	27	270.911	0.173987
7	28	271.047	0.182176
7	29	270.963	0.186402
7	30	271.037	0.187905
7	31	271.023	0.185705
7	32	271.167	0.186124
7	33	270.991	0.190107
7	34	271.057	0.188115
7	35	270.859	0.17937
7	36	270.976	0.179575
7	37	270.793	0.196959
7	38	271.13	0.188152
7	39	271.068	0.182682
