Plane	Strip	Shift
6	36	0.0875
6	37	-0.1875
6	38	0.2875
6	39	0.0125
6	40	0.2625
6	41	0.2375
6	42	0.0375
6	43	0.0625
6	44	0.3375
6	45	-0.0625
6	46	-0.0375
6	47	0.0875
7	0	-4.2375
7	1	-4.0875
7	2	-4.3875
7	3	-4.4625
7	4	-4.2125
7	5	-4.4875
7	6	-4.0625
7	7	-4.3125
7	8	-4.2375
7	9	-4.1875
7	10	-4.1125
7	11	-4.5125
7	12	-4.3875
7	13	-4.2875
7	14	-4.2125
7	15	-4.5375
7	16	-4.0625
7	17	-4.3125
7	18	-4.1375
7	19	-4.1375
7	20	-3.8875
7	21	-4.3375
7	22	-4.1125
7	23	-4.1125
7	24	-4.0375
7	25	-3.9625
7	26	-4.0125
7	27	-4.3125
7	28	-4.0375
7	29	-4.1125
7	30	-4.0375
7	31	-4.1375
7	32	-3.8375
7	33	-3.9875
7	34	-3.7375
7	35	-4.0875
7	36	-3.9875
7	37	-4.3875
7	38	-4.0375
7	39	-4.1125
7	40	-4.0375
7	41	-4.2625
7	42	-3.8625
7	43	-4.1375
7	44	-3.7625
7	45	-3.9375
7	46	-4.1375
7	47	-4.0875
8	0	-12.7875
8	1	-12.9375
8	2	-12.7625
8	3	-13.0625
8	4	-12.9375
8	5	-12.8875
8	6	-12.8625
8	7	-12.9625
8	8	-12.8375
8	9	-12.9625
8	10	-12.7875
8	11	-12.9375
8	12	-12.8375
8	13	-12.9375
8	14	-12.7375
8	15	-13.0625
8	16	-12.7625
8	17	-12.9375
8	18	-12.7625
8	19	-12.8375
8	20	-12.6375
8	21	-12.9625
8	22	-12.7625
8	23	-12.7375
8	24	-12.9125
8	25	-12.9125
8	26	-12.9625
8	27	-13.1625
8	28	-13.0125
8	29	-13.0375
8	30	-12.8125
8	31	-13.0375
8	32	-12.9625
8	33	48.1875
8	34	-12.9625
8	35	-13.0125
8	36	-12.9875
8	37	-13.0875
8	38	-13.0375
8	39	-13.1625
8	40	48.1875
8	41	48.1875
8	42	48.1875
8	43	48.1875
8	44	48.1875
8	45	48.1875
8	46	48.1875
8	47	48.1875
9	0	-12.9125
9	1	-12.9875
9	2	-13.2375
9	3	-13.2625
9	4	-13.0375
9	5	-13.3875
9	6	-12.9125
9	7	-13.1375
9	8	-13.1875
9	9	-12.9625
9	10	-12.8375
9	11	-13.3875
9	12	-13.1625
9	13	-12.9875
9	14	-12.9125
9	15	-13.3625
9	16	-12.9375
9	17	-13.0875
9	18	-13.1625
9	19	-12.9125
9	20	-12.7875
9	21	-13.2125
9	22	-12.8625
9	23	-13.0125
9	24	-12.7625
9	25	-12.9125
9	26	-12.9125
9	27	-12.9875
9	28	-12.8375
9	29	-13.0375
9	30	-12.8125
9	31	-12.9125
9	32	-12.8625
9	33	-12.9875
9	34	-11.8875
9	35	-13.1125
9	36	48.1875
9	37	-12.9625
9	38	-12.9125
9	39	-13.1125
9	40	-12.8625
9	41	-12.9125
9	42	-12.7875
9	43	-12.7625
9	44	-12.7375
9	45	-12.9875
9	46	-12.8625
9	47	-12.8625
10	0	-0.4375
10	1	-0.2375
10	2	-0.4125
10	3	-0.3125
10	4	-0.1875
10	5	-0.4625
10	6	-0.2625
10	7	-0.2125
10	8	-0.1125
10	9	-0.1875
10	10	-0.1625
10	11	-0.2875
10	12	-0.2875
10	13	0.0375
10	14	-0.1125
10	15	-0.3625
10	16	-0.1625
10	17	-0.1875
10	18	-0.4375
10	19	-0.2875
10	20	0.0375
10	21	-0.2375
10	22	-0.3625
10	23	-0.4125
10	24	-0.0625
10	25	0.1125
10	26	-0.0125
10	27	-0.4375
10	28	-0.2625
10	29	-0.2875
10	30	-0.2625
10	31	-0.3375
10	32	-0.0125
10	33	0.0375
10	34	0.0625
10	35	0.0875
10	36	0.0375
10	37	-0.2125
10	38	-0.1625
10	39	-0.2375
10	40	-0.3625
10	41	-0.5875
10	42	-0.1125
10	43	-0.4125
10	44	-0.2875
10	45	0.0125
10	46	-0.3375
10	47	-0.2125
11	0	0.0625
11	1	0.2625
11	2	0.1375
11	3	-0.2375
11	4	-0.0125
11	5	-0.1375
11	6	-0.0125
11	7	-0.2125
11	8	-0.0625
11	9	0.1625
11	10	0.0875
11	11	0.1125
11	12	0.1875
11	13	-0.0625
11	14	-0.0125
11	15	-0.3375
11	16	-0.1625
11	17	-0.2125
11	18	0.1125
11	19	-0.2125
11	20	0.1375
11	21	0.1625
11	22	-0.0875
11	23	0.0875
11	24	-0.2125
11	25	0.0125
11	26	-0.1125
11	27	-0.1625
11	28	-0.0375
11	29	-0.2125
11	30	0.1125
11	31	0.0375
11	32	0.2375
11	33	0.0375
11	34	0.0875
11	35	0.0875
11	36	0.0375
11	37	0.1375
11	38	0.0375
11	39	-0.0125
11	40	0.1875
11	41	-0.0125
11	42	-0.0125
11	43	-0.0125
11	44	0.1875
11	45	-0.1375
11	46	-0.1375
11	47	-0.0375
12	0	-4.0875
12	1	-3.8875
12	2	-3.9625
12	3	-4.2375
12	4	-4.1375
12	5	-4.0625
12	6	-3.9875
12	7	-4.1875
12	8	-3.8875
12	9	-5.0875
12	10	-4.0875
12	11	-3.9875
12	12	-4.0125
12	13	-4.0625
12	14	-4.1625
12	15	-4.1375
12	16	-4.0375
12	17	-4.1625
12	18	-3.9125
12	19	-4.0625
12	20	-3.8125
12	21	-4.0375
12	22	-4.1375
12	23	-4.0875
12	24	-4.5625
12	25	-4.3875
12	26	-4.4875
12	27	-4.8375
12	28	-4.5625
12	29	-4.6625
12	30	-4.5375
12	31	-4.7375
12	32	-4.4375
12	33	-4.5875
12	34	-4.6625
12	35	-4.4875
